id	turn1	turn2	turn3	label
19	youtube rewind 2018 wad wonderfully produced, i dont know why everyone hates it	theres a yt rewind 2018-	yES NINJA IS IN IT	others
20	How I wish I could meet you earlier you are just like a star that shines brightly in my life. Thank you for existing my star, I shall wait till the 12th Star to see wanna one reunite again  I CAN’t make it nice,I suck:”)	Pretttyy laa	My Athena pretty too hehe	others
21	who tryna do 40 sentences in spanish for me	me fag	will u really	others
22	If my car insurance was in my name with my legit details	If you put ‘pleaselowerthrprice’ as the promo code you get 25% off	If only	others
23	He loves his Rangers teddy	He’s so cute!!	Thank you he’s a wee menace at times but I love him	others
24	i keep thinking about This and Them	AAA oh my god i remember t1ing this event for megumi fjhksdas it was wild we love a Bop...	its really good..	others
25	Enjoying his gluten free, vegan cheese	Thank you for sharing... I have RT as the pizza looks good & your boy is looking quite pleased...!	He loved it! Enjoyed every mouthful and has a slice saved for tomorrow	others
26	No Lebron	Look at the time of this tweet.	Yeah I saw my bad	others
27	And now I cry	AHHHHHHH	I love me some soulmates	others
28	It hits you hardest at night.	lol all that means is I need some new friends	I can’t stand you	others
29	Self-awareness is not his strength.	It’s also just completely and needlessly disrespectful of a kid who was a pretty damn good college player.	Right. So tone deaf. It's actually comical.	others
30	Trying to become more involved with you guys over here in Twitterland! Anyone got any questions, comments or concerns? I’m here to reply to all!	is there a tour coming in the future??	2019 is a big year!	others
31	That's no teaser trailer, that's a full trailer! Fingers crossed we see NO Spider-man, but LOTS of Gyllenhaal! I'm hopeful that with Sony and Marvel working together on this it won't take away from A4. Regardless, I'm so stoked to see what they show us!!	Very intrigued for what they have in store...	With that Gyllenhaal video he put out yesterday, I'm hoping we see quite a bit of him in the trailer! But until then all my hype is for tomorrow's A4 trailer!	others
32	Oh look, they’re delivering	Keep talkin ish homeboy	I guess they never miss, huh	others
33	Aston taking a leaf out of Jag's book with a drop-in, reversible electric powertrain swap for classics:	This is mad. I swear I remember watching as a kid, tv shows etc where classic looking cars ran on mad future tech... and here we are	Downside: the Jag version is about 300k pounds. Zing!	others
34	never again with creza bets	I’m screaming Rafis £100 thank god i didn’t listen	5-2 up last map for my beans and they get runny bum	others
35	*breathes*	Wha	what's there to be confused about?	others
36	sweedarte your header I keekin me. Whoosh	Thank you, dear. It’s by the grace of God, dear	Or it’s the bills you are spending on yourself. Geddit?	others
37	Was pondering a new Nick & Willikins Christmas Special for this year but we've done tons (tonnes?) of those and I'm not sure there's a lot left to say. ...maybe an Aaron Faucet Christmas Special?	Trying to figure out what that might be. Fuck, I actually have an idea...	I was half-kidding, but if you wanna bash this around tomorrow we can do that.	others
38	Going to make some of	I do love those - they are so fast to whip up (and so tasty)	I'm trying to make finger food. Have bought cookie cutters. Doing three smaller line inside fancy shapes may be the difficult bit, but will do it in advance and cross my fingers!	others
39	Let’s eat some mushrooms and go to the circus	You won’t!	Maybe I will	others
40	Not that anyone will answer but rt/ reply to be in a Niall gc I’m gonna make  -be nice -be active -take a joke -send memes -love and appreciate Niall (the other boys r welcome as well) -tomorrow we’ll all freak out about the album	YES IM IN	Omg yes please help a sister out	others
41	Nice to meet you Wesker	You too Lex	How are you doing?	others
42	Great job. Time to relegate myself to div4 because div2 rewards are complete ^*+% right now. Oh, but as long as you sell packs right? What a company..  - a fut founder and player since fifa 97.	What's the best way to relegate myself, just score own goals?	Haha yes that or just score 1 og and quit	others
43	Need to start 1 in place of injured James Connor. Mack shut down last week, dealing with concussion issues previously. Dion only getting 6 carries last week. Carson dealing with a bad finger. James White having touches taken by Burkhead.	White	really worried he gets even more carries and targets taken away by Burkhead this week	others
44	I'm testing something ignore this	HOW	I JUST PRESSED DOWN ON THE TWEET FOR A REALLY LONG time until it copied to clipboard et voila	others
45	A LTC in my unit threw a temper tantrum today because a document he was supposed to sign wasn’t converted to PDF from word for him. He claimed he was too busy to convert it himself.	This LTC is obviously Paul Manafort	You are correct	others
46	How I wish I could meet you earlier you are just like a star that shines brightly in my life. Thank you for existing my star, I shall wait till the 12th Star to see wanna one reunite again  I CAN’t make it nice,I suck:”)	janice YOURE PRETTYYY	Says the prettier one	others
47	It was not a cold day today, but the 14-yo boy was wearing summer sandals on his bare feet. He explained it was because he was in a rush. ^^;	Teenagers!	They sometimes have a different point of view ^^;	others
48	Ily	*gets u one made and mailed to my house* I’ll let u know when it comes in babes	I loveessss youuuuu	others
49	hey friends! Do gifs not autoplay on the iOS or Android app by default? Trying to find a way to make them autoplay without opening a new window. Thanks!	Unfortunately this is a known bug, sorry! For now, you should be able to play GIFs by tapping on them.	Okie dokie! Thanks for the response. Any chance there's a place to follow along the progress in the bug fix? I suppose one day I'll wake up and it'll just work.	others
50	Fortnite is the best game of all time.	Star Wars battlefront 2	Dude it’s Mayes!	others
51	Had my first trip to a supermarket plating Christmas songs last night. Fortunately no Last Christmas, but I found I was dreading it coming on. Whereas I loudly sang Slade, to the bemusement of most. So still no	I've given in. Was humming Winter Song yesterday.	Quite right. It's only Wham I'm trying to avoid.	others
52	IF YA 555 I’M 666	And I’m 777	there’s the energy	others
53	cooking is love, love is OK I don't really understand this catchphrase but I definitely like it!	Cooking is meme.	I think you are right.	others
54	Yikes!! I'm only retweeting because it's	Says a lot about him! First year on the team and he's already making a huge impact in the community. I will always miss and think of him as a Dolphin.	Stand up guy!! Love him and God I miss him!!	others
55	Thank me ltr trickshotters ;)	been knew this and i don’t even play the game	It just came out gee , some people might’ve not know that you can keep jumping around with it	others
56	Tagging the first ten suggested	Your such a nice friend and such a sweet person! Im glad i can get to call you my friend <3	aaaaaa that means so much to me, thanks Bleo!! ;w; I'm grateful to have you as one of my best friends	others
57	Really excited to have finalised the JD for our new	A very exciting & informed initiative. Best of luck!	Thanks... we are making a good start but there will be lots of learning along the way.... fingers crossed	others
58	Funny how your name is Kamau	From Kemetic meaning, meaning The Silent Warrior and Black	Kamau is actually a Kenyan name, where Nairobi is located	others
59	What if I told you she’s wearing R20 Satin . I sell fabrics , I know my shit.	it’s my family’s shop it’s actually about R120 :)	But I meant no disrespect to Jerry’s Btw I know the owner personally	others
60	tomorrow is friday... and then the weekend	hooray!!	i can not wait	others
61	Mhmm	See you don’t care about me you just tryna finesse your way into getting some cake	Nah, I was waiting for you to invite me. You probably on your old people show	others
62	Is this what we’ve come to in 2018	Goooooorlaaaa	Girl I want to slap her ass. How more serious can you get?!	others
63	please check 2pm flight from Boston to LGA, seat 4D. My carry on under my seat is soaking wet and stinks of vomit.	Hello. Very sorry to hear about this. Did you inform our in-flight or airport team about this? *ARD	It's not the thing you normally check for, now is it?	others
64	I will continue to stream 2K but after I think I’m gonna have fun with twitch subs on Fortnite	Can I get in a game g?	I got you	others
65	i just started crying thinking about how amazing of a person taylor is and how lucky we are to have her in all of our lives	Super lucky cause she brought you into mine	i'm the luckiest cause i know you	others
66	All these O2 peeps moaning. There once was a day when there wasn’t such a thing as mobile data ya know?!	There once was a day there wasn’t such a thing as mobile Period	I know it’s hilarious how people are losing their minds over the whole O2 saga!	others
67	accidentally	Is it just Bezos in an Awesome-O costume?	i would not be surprised if bezos was controlling the robots for fun	others
68	while everyone plays red dead online. I still have fun riding around with Arthur... i won't let him go	I haven't touched online. I gotta finish this epilogue though so I can get back to my good boah. <3	I played only for 30 min.. i still want some trophies like the study animal and the 100% Trophy, so i still have a lot things to do. also some collectible missions. Hunting requests and challenges	others
69	We won 1 Prem away game in 2018 under Wenger, we've already won 4 under Emery. If you can't see any improvement, there's no hope for you.	That's more to do with wenger than Emery, ofc there was gunna be a improvement it couldn't get much worse could it	Could get much worse than 6th and 2 cup finals mate. You finished 8th not long ago, Chelsea 10th.	others
70	Okay so forgot to tag people but there you go...i am sort of scared but let me know.	Always glad to hear from lets talk JL	Tysm..You made me fell in love with the jade giant..the green goliath.	others
71	johnny depp ... he a nasty man and OVERRATED	this !!!!!	hermione, i am glad u agree.	others
72	Ok I received 3 travel plans for my upcoming Dec 23-31 Europe trip. I will be driving around small towns and then staying at a hotel each night to work remotely. Which one do y'all think I should do?	I’m Dutch, so obviously pretty biased. You could easily do both Belgium and the Netherlands though, depending on what you want to see/do.	I'm leaning towards my Netherlands route now! The places I'm thinking of hitting are: Leiden, Delft, Gouda, Utrecht and maybe Maastricht!	others
73	Vous protégez mieux vos enfants en leurs faisants confiance qu’en les enfermants ah j’vous l’dit	MERCI	Derien bb	others
74	Dad is a fucking bully. I should make him walk to work while I follow him in my car.	She was kicked off the bus, I’d have done the exact same. It’s called consequences for actions. A lesson few kids learn these days	You don't have to tell me. I made my 7th grader make apology letters to his teachers who he was doing poorly in because he wasn't trying.  My bully tweet was a joke. ;)	others
75	keep my name out your tweets and I thankyou	stay off my page we don’t follow eachother STANKKKKK	right tf thts what i’m sayin somebody sent it to me , don’t put my name in your tweets ! stink	others
76	i jus lived to 120 years in bitlife-	i was accidentally rich...	I WANNA BE A PORN STAR SO BAD BUT IT ALWAYS DECLINES MY INTERVIEW	others
77	pretty disappointed baby shark wasn’t in my top songs of 2018 :///	ily	omg i love u	others
78	This.	Stop. We're already being honest. Schiano would've brought that Penn State baggage with him.	I don’t disagree. I just wish it were the case that the uproar would’ve occurred because even if there was t any Penn St stuff. 1 game over .500 overall & a big time losing conf. record and a total failure in the nfl. It just showed they still weren’t taking football seriously	others
79	does the HPN scheduling and new My Fios work for anyone or is just us that it doesn't work?	What issues are you having? ^JC	new Myfios app scheduling does not work...also it seems turning off a device from interest on one device cannot be undone by another device and have to now be home to do any of this	others
80	90% of this week the universe was kicking me in the nuts, but, boarding my plane now to NZ makes it all worth it. See you soon motherland	Safe travels pal	Thanks!	others
81	i hope who ever i end up with wants cows just as much as i do	If not I’ll pay you to take care of mine when me and James are off working	that’s what i call REAL friendship	others
82	He honestly looks like a killer from the thumbnail jfc	she looks 14 i'm scared	I’m scared no matter what age she is he’s terrifying	others
83	It's my birthday please say a prayer for me and retweet it	Brother if less than 5 persons wished you well out of over 80 followers after 5hours of your post.... Please weed them off.	I already have my cutlass with me	others
84	I can't even describe the feeling I have right now. It's been a long road to Iota Land but I wouldn't want it any other way. Big thank you to my brothers for pushing me through, without…	MY BOOOYYYY TRENT !!!!!	My fuckin dawg	others
85	ITS HEREEEE	That’s so awesome!	they have alot of options!!! i love it	others
86	someone put a full face of makeup on for tonight	always so pretty	you’re such a sweetheart thank you my love	others
87	Tis’ the season to be jolly	"You forgot to add ""if you have money"""	Money is not always a determinant for happiness	others
88	Felix is currently livestreaming on YouTube to help raise money for CRY who help children in India suffering in poverty. Go check it out & let's smash that goal! If you can't afford to donate, please just help spread the word around for this good cause!	It is done	I’m so proud!	others
89	NHL Puppies Panthers ML -115 Flyers ML -115 Coyotes ML -105 CBB  Purdue -8.5 Fairfield -2.5	I dont think any of these are puppies lmao	Well they’ve been groomed a bit lol	others
90	owo	9	9. Hurts Like Hell - Fleurie	others
91	to whoever is reading this, keep in mind your dreams don’t have an expiration date, so take a deep breath and keep trying, it’ll take time but you got this	What if I dream about expiration dates	then... let’s hope uh... good luck with that	others
92	I’m about to make the dankest coffee in corona come to crave fuck Starbucks	You left Changs ?	I wish lol	others
93	Man like pan stop this	Not you too	nope I have not done this. I’m laughing at you zvangu.. leave people’s children	others
94	Tonnes of the add on packs in Smyths t'other week but no base pack. I like the ship toys but they a bit rich for casual buy.	fun fact in game you can buy the ships with currency earnt in game	Useful information.	others
95	I followed a fandom twitter for the first time and I'm experiencing an absolute adrenalin rush of content	f... for the first time?	twitters i follow just have people who really like things and will occasionally retweet stuff from their network of ppl with similar interests, not dedicated tag binges. its so much	others
96	News: Supporters Club Members - login for information on a Ticket Ballot for Six Nations. Yes - a ballot! Please note the club is closed to new members. Existing members can renew.	Hi, I am a member. Have not received the six nations email which you sent earlier regarding the ballot, (but my brother did) just wanted to make sure I am included in the ballot. Also why haven’t I received the email?	Sorted by email.	others
97	Tonight's ep im so proud xx	X	I thought Daz hit Kerry at first!!! Xx	others
98	Yankees need another bonafide ace period. An ok pitcher won't cut it. We need a stud.	Idk if one is out there to have right now unless we make a move for Kluber i guess?	Cashman can't have another Verlander/Cole situation here. He needs to go out and get Kluber.	others
99	Moonchild don't cry When moon rise, it's your time  LOOK HOW PRETTY THE MOON IS JOON	Here to stan fellow moonchildren, and moonchildren only	i love you:((((	others
100	The Bee hive really doesn’t vacation on Spotify	LOL ZERO	Less than an hour of listens and in the top 22% of bee stans?!? I’m going to honeycomb hell	others
101	if you’re a vegetarian achievement hunter fan with plenty of disposable income don’t waste your money on ultra xxxx	okay mum	bc of the bbq xxxxx just a funny joke xxxxxxx just havin a laff xxx	others
102	Here is my new video of my new team I love yes I am the jaz man and follow who I want to and no body will tell me who to follow	You should become a Protestant while your at it cause your Catholic Church is failing just as bad as united	I not a Catholic man I'm a born again Christian	others
103	Good thing my supply of outrage seems endless.	Foster care in the US has been this awful unceasingly but it's so unbelievable&shame-ridden for families noone comprehends it. Ps: 1 in 3 girls,1 in 6 boys get molested in foster care(I was: not by my mom, by foster staff/families...so process money outrage in that context. Ehem.	Thanks for giving me that perspective. I was reacting to the far less troubling fact in front of my face without knowing the magnitude of the problem in the wider context of a whole system. I hope I didn’t offend.	others
104	i think my cousins been questioning their gender for like 3 years and omg i just saw their insta and the bio is ‘year 4 // savage // my name is Dash’ LIKE WHAT AN ICONIC NAME,, TRANSITIONING FROM DAISY TO DASH AT 8 YEARS OLD	they have insta at 8 years old??? i??	boi one of my cousins had 17k subs on youtube at 8 years old,, they’re true influencers	others
105	Met a nigga from the city, introduced me to real and I don’t want to go back.	What song is this?	I was writing a poem about someone and decided to tweet that	others
106	So Linus74 who will you stand with?	I'm grateful for Flynn's service to our country  It's a shame he got mixed up in 's shady dealings I also appreciate the information he provided Mueller Going to be interesting to see how some folks react when the other shoe drops	When the shoe drops and i am wrong. I will be the first to admit it. If the other shoe falls will you admit you were wrong? What info. did he give Mueller? I have not seen any. If you have somewhere I can look it up please share.	others
107	Adding a video from a rich content editor in	It won't work in chrome or it will?	Oops. Will. I wish I could edit my tweet.	others
108	Accidentally posted some tweets to my personal account instead of this account and had a cute girl unfollow...	That’s tough man	Better now then the next time I'm running through campus at 9pm singing about the Ottawa Senators!	others
109	Officially done with my first semester of grad school!	That’s awesome! Good for you, Jordie!!	Thanks Chels!	others
110	you removed the pride flag	It’s back my love	It's better now	others
111	Everytime I see Zenith ingame I think it's the Sushi Master. lmao	what about lynx i think it's DJ Yonder always	when I see a lynx I'm like, What the fuck is that skin? xd	others
112	And he hugs his players	Living in your head, free of monthly rentals!	Inject it into my veins G.	others
113	my baby	precious	Me w my pug	others
114	Are you someone who follows me AND interacts with my posts, likes, retweets or comments regularly? If so, I want to make sure I'm following you back.  Let me know if I'm not please	Follow back would be appreciated	I thought i was... Now following you. Thanks	others
115	So this arrived at my house today. 10 years of more or less focused development has finally come to and end.	Lovely cloth xD	Very vintage	others
116	these never match but anyways last	UR SO PRETTY	THANK U BB	others
117	Lost in Chadstone. What the hell has happened to this place in the last year?	I went there as a kid & it was just 1 straight strip of shops. From Myer 1 end to the escalators at the other. It's like a small city these days! I hate going there & only go with my daughter occasionally, as I'd NEVER get out on my own, & definitely would never find my car!	I hear you!	others
118	...	The tracks kinda hard uno	well that’s only because of Dax and Crypt the concept of the track is really bad tho, the track itself ain’t all that bad	others
119	transfer to euw im sick of seeing you not in the division you deserve to be i want to carry u	Gonna say fuck being a wagecuck and become a neet in eu	my life in a nutshell on the left	others
120	What’s the best way 2 self teach yourself a language???	Omg just don’t I swear	I wanna learn Swedish	others
121	folks what are ur fav sta/rbucks drinks for the winter. also do u prefer hot drinks in winter or do u not care	i cant answer because i always just order the same thing	I MEAN SAME, i asked bc i only get iced tea LOL	others
122	u watchin the mosconi?	Nah I’ve watched any mate. Ain’t even watched much snooker either tbh! We winning?	Na gettin battered	others
123	Omg why are people talking about dramas to you? Lol	Lool idek. I have never watched paki serial except Bashar Momin. my cc is whole fun. People actually talk real things.	What is cc? Also dont like much dramas but since i sit with mom i have to sometimes watch em. Such low iq shitty serials.	others
124	So still nobody dey fit beat me for iMessage Basketball ?	Archery? niihector@icloud.com	I can’t seem to find you . Koleteimartey@gmail.com	others
125	Headline: RBA suggests it has ammunition and the will to use it to avoid an economic slowdown, Twitter gets mad	Can we not tolerate a “slow down”? Gee they must REALLY be worried.	We can tolerate a slowdown for sure but they won’t want a full-blooded crash	others
126	Seems our gym boi Buildy found some part time job to help out his income! Working as Santa Helper on that Mall is bound to save it and rise the Xmas sales! >>>4K on Patreon<<<	Seem like his stocking is VERY stuffed.	And that's as small as he can be!	others
127	Listen cuz I’m vex	Youuuuuuu never went?! “WOW” I’m fully shocked	I know even my mum asked me why didn’t I go. I played myself	others
128	I think this is the worst year for the dingo Dollar challenge..	Honestly they have been rubbish!! I’ve won every one	I think all the viewers have!!	others
129	AND IT BEGINS!!!	I keep saying this.. Alexa is unplugged BUT I tell her that she’s apart of the family every time I walk by	Good. Gotta take precautions at this time.	others
130	First of all what nigga in his right mind want a bitch that made the word “flewing” to suck his dick	Neck might be flames lmaoao	I’m sure it’s girls with fire neck that know Flewing me is not a word	others
131	"When you check into a Yorkshire hotel, dreaming of a quality ale in the bar, ask what bitters do you have and they say....""John Smith's!"""	Wrong Smiths you want	I know and they have none	others
132	apparently my fkn adblocker was blocking etsy purchases??	LOLOLOL	im so mad...i didnt know it could do that??	others
133	So, who fucked our democracy?	to name a few	Good list. Start of a list.	others
134	I love Christmas	Seen the same tree the other day on the roundabout in farnworth. Went past this morning and it's gone	what are you trying to say?	others
135	Getting ready to record the Crosstown Shootout edition of the Dana & Victory Podcast. Send any and all questions/topics you'd like to hear addressed on the show.	Who has the edge in a fight, Mick or Travis? They appear to be of similar height, mich def has more weight on him and has some W T in him but Travis has age in his side and he looks to be in much better shape physically	Can I get a definition on W T?	others
136	we have a drake stan over here!	mais pas du tout	let's get this girl a TICKET!	others
137	This type of parenting is trash. Smfh	Why?	I hate when parents post shit like this online to basically embarrass them.	others
138	Fact. Either that or he’s another one with a cave spouse.	He talks white ! He not gonna like it until she cheats and gets him locked up! Even white men are fed up and going Asian	Lmaooooo well whatever he gets, he deserves!!!	others
139	You lot forget that Ferdi was gonna call the feds on the breh that hit him	Skdjdkf	I wish the feds grabbed that nigger on the bike because if they did, none of this would have fuckin happened	others
140	I been having a steady migraine for the past 3 days	Drink water dork	I am! Trust	others
141	I’m going to edit my girlfriends face on to a gnat	nvm i hate you now	Ahaahhaahaha but imagine your face on a gnat	others
142	There's something about her... I can't put my finger on it.  Oh wait The cackling Always pissing me off Always being selfish when it comes to trials  Trying too hard to be liked Fleur doesn't deserve to do the celebrity cyclone... So get her out	Have you not just described Emily too?	She's being herself. Fleur is trying too hard. There's a difference.	others
143	Love the idea of this morning routine but not so sure about a 5 am start! Any thoughts on a 10-10-10 breakdown	I did 10.20.0 once when I woke up at 6.30. Think 20 mins exercise is way better. Might try exercise + podcast together if late? also said some people do do their hour at 6...	Good to know, and thanks for your thoughts. Will try it out and see how I go.	others
144	SAY WHAT	you heard me.	This is the best news I heard today	others
145	Was the Irish flag not wrong there??	No it was correct..	It wasn’t....they pulled Ivory Coast	others
146	"i dont wanna post pics of me dressed for the rain/cold cuz im wearing a thick ass beanie with a hoodie, a shirt under with a fluffy jacket, & 2 pairs of pants cuz i know ppl in the east coast/england/rest of europe are gonna be like ""ur such a puthy"""	puthy	shut up u know as well as i do how much we freak out when it gets cold/rains in LA	others
147	Wow Barca > Madrid I'm sold	Fuck outta here	Till ya bump 69 yes lol	others
148	oh canadian netflix has yes man maybe I should rewatch yes man	I can't wait for 100 dipshits to pile into de_dust.	unfortunately it's only like, 18 people iirc but	others
149	ok but this :( I never want to fall out of love w anyone I’m a fan of	Same	imagine parting with ur fandom and then putting all of your things like merch, albums, lightsticks etc in a box and in storage and forgetting about it only to find it again many years later when you’re moving and you have to decide to keep all of it or not	others
150	“its the one time in her life that she gets to see me and even though this happens to me everyday, it’s her one time and my thousand, and i know it’s important to her” WE DONT DESERVE HIM	wait when did he say this!!!!?	it’s a recent interview, the videos on @ SMendesQ&A	others
151	hello just a note to friends i may have made soft plans with: i probably wont be making it to austin in 2019! maybe i’ll see u all in 2020 which sounds like a fake year	i miss you already	I’m gonna start putting money away and just seeing what happens but i don’t think its meant to be this time round!	others
152	Let’s get to know each other a little better. What have you been listening to this year?	Mine is prefaced with the fact the kids share my account now. Don’t judge me.	Mine’s shared with the house Spotify, so there is a slight risk of 3am ex yugo turbofolk pop... but that’s part of the fun!	others
153	I mean she only says no like a ton of times in the song and he doesn’t stop so yeah kinda rapey	Does he rape her? No. No man has ever raped a woman because of this song. It's harmless	How do you quantify how this song influences rapists? You can’t.	others
154	My best friend really deserves the world. Always you	and so do you, ily	i love you more	others
155	It’s not what I meant... you forgot “favorite”	Aren't I your favourite?	“Babe, did you read everything we said? She forgot to add that I was her favorite.”	others
156	Crypto Twitter  Meet Lil Bull Of Bitcoin  He will become the greatest degen crypto trader of all time  His biggest scalp will be liquidating Arthur at 12 years old	Congrats!!	Thanks	others
157	my moots still think bst is better than fake love this is why i’m leaving the fandom	dont forget to take off the dunce cap on ur way out	i think you mean my intellectual cap	others
158	A shark, khakis & loafers, a bad joke...this has you written all over it.  Beware the Fee Shark: Full documentary	Well I guess I know what my personal brand is huh	I mean...you can see it, right?	others
159	with your pro challenge topping the leader board wow you were fast	It was a very exciting pro challenge this evening Joyce. katya & Graziano were sensational!	They were brilliant, so fast. I didn't see yesterday's ITT as I was out but I noticed Kevin had beat Gio. So pleased for Katya, & a good first pro challenge for Graziano	others
160	Okay I want	I’ve got Pinocchio and the shoe x	I really want these	others
161	love my new christmas layout	i absolutely hate you.	watch me cry!	others
162	COINCIDENCE? I DONT THINK SO	Time to tattoo my whole body that color	just go outside w/o sunscreen for a bit	others
163	fucking pathetic	MAGA	faggot	others
164	Keep all this private.., proceeds to publicly tweet about it	Could even be fake beef	Who gives a frog? Yet another attention seeking publicity stunt	others
165	Option 1. Who wants to be my friend? Option 2 . My drinking buddy? Option 3 . My blood donor or Option 4.:All three. ?	How about just one and two?....Although, maaaybe my blood has my crazy in it?..	That sounds good to me love. Although I am very curious how your blood tastes. *Bex Smirks at the other female. *	others
166	Thank you	is that the band that opened for Brand New a couple years back in Richmond?	Haha yeah man! My gf brought that up the other day. I didn't realize it at the time that that's who it was	others
167	WELL looks like i’m gonnanbe in my apartment all night	You’re not	I can’t believe it	others
168	My brain is completely fucked.	yep	Well thanks man love the support from you	others
169	D put me on one of yo friends , im tryna see sum	who	idk , a fine junt	others
170	Everyone’s outfits vs Blair’s	He dresses like a straight guy...	I meant all the color in his outfit versus the 50 shades of black in everyone else’s.	others
171	I fucking hate people who are so RUDE	Me too	Relatable	others
172	Well this was a surprise.	When did you sign up for?	I honestly have no idea when I signed up haha. But Im in Philly if thats any help. Looking forward to the show tomorrow!	others
173	┏┓  ┃┃╱╲ in ┃╱╱╲╲ this ╱╱╭╮╲╲ house ▔▏┗┛▕▔ we ╱▔▔▔▔▔▔▔▔▔▔╲   ABSOLUTELY DO NOT  QUIT AND RESTART ╱╱┏┳┓╭╮┏┳┓ ╲╲  ▔▏┗┻┛┃┃┗┻┛▕▔	Can I move in	There's always space!	others
174	AHHHHHH! LOOK!! COYOTE SCRUNCHIESSSSS! THEY’RE SO SQUISHY AND CUTEOMGI NEVER REALIZED HOW ADORABLE COYOTE SCRUNCHIES WERE	Ren: Henh, henh, coyotes look silly.	Hey! Leave my teef alone ok! I can’t help it >:B	others
175	It’s a great day when president Trump can get godless liberals to discuss the apostles’ creed.	Honey... I’m not sure if you’re aware of this, but Donald Trump is a godless liberal. You worship at the altar of a godless liberal.	Honey...I’m not sure if you’re aware of this but godless liberal Trump got you guys to talk about the apostles creed like a bunch of good little sheep.	others
176	mark saving me from the hungry pit<33 i’m cry laughing why did someone post this	What happened!?	matty stage dived and the crowd lost its shit, i got pushed back like 3 rows and couldn’t see/breathe so i had to ask mark to get me out lol	others
177	I see Huawei arrest as a catalyst for high multiples on value tech and non-china dependent companies. Two major events occurred: 1. West (Canada/US) is now aligned with IP protection 2. Leverage into negotiations	(This is a really really intriguing thought, thanks for sharing)	As a serial tech entrepreneur and VC investor in the bay area, I’ve seen so many blatant attempts by Chinese companies and state-backed funds who attempt to deprive true spirit of innovation and entrepreneurism in the US. A co-ordinated effort by the west is exactly what we need.	others
178	any advances on this for the least cool song on your?  I’ve got Johnny Logan’s Hold Me Now in mine so shouldn’t really be throwing stones around this glass house.	My entire is a tribute to Hamilton... I know I got carried away after seeing it, didn't realize I got this carried away...	there’s a fair bit on mine too. Just amazing wasn’t it?	others
179	Daily Chart (bitmex	hey bro, just curious- why would it be bullish if volume is increasing and price is dropping? that is a confirmation of a downtrend to me.	Bullish divergence. On a larger timeframe like the daily it indicates the price action will ultimately start to rise as well - (as long as volume continues to rise that is). It won't be a game changer or market reversal, just potentially 10% up or so. Then back down most likely.	others
180	Yeah I deadass been tweaking. Ain’t studied all week like my finals ain’t the first part of the week	sound like you not going out this weekend.	Oh I wasn’t planning on it anyways.. it’s too cold to be going anywhere! Lmao	others
181	I’m just putting this cunt right out there I EAT BOUNTYS and I’m proud	Second that like!	I’m standing up for us bounty eaters	others
182	I fucking hate soccer in PE	I fucking hate basketball in PE	I want hockey to come around	others
183	if it did look like that none of you wouldve even cared lets be honest	that’s the point lmfao people are just upset about this because luke is front middle	honestly if it was anyone but luke no one wouldve said a peep	others
